GFP;RFP;Condition;ratio_mut_over_wt_g0;ratio_mut_over_wt_g10;ratio_mut_over_wt_g20;ratio_mut_over_wt_g30;selection_coefficient;Kpn_abundance_g0;Kpn_abundance_g10;Kpn_abundance_g20;Kpn_abundance_g30
wt;wt;mGAM;0,565008025682183;0,477409638554217;0,422190201729107;0,386039886039886;-0,00404005701883232;97,5;98,1;98,7;97,3
wt;wt;mGAM;0,598039215686274;0,533980582524272;0,55608214849921;0,506430868167203;0,00403362035920941;97,8;94,8;98,5;93,7
wt;wt;mGAM;0,39402560455192;0,342857142857143;0,308921438082557;0,267441860465116;-0,00405156958621892;98;98,7;98,3;98,1
wt;wt;mGAM;0,504615384615385;0,476761619190405;0,433139534883721;0,421511627906977;0,00225806824243268;97,8;98,5;98,6;97,8
wt;wt;mGAM;0,483333333333333;0,464391691394659;0,441520467836257;0,417758369723435;0,00373696981320783;97,9;98,7;98,6;97,4
wt;wt;mGAM;0,884146341463415;0,789762340036563;0,692844677137871;0,582362728785358;-0,00521902511916435;92,7;97,9;97;95,1
wt;wt;mGAM;0,84952380952381;0,838709677419355;0,826247689463956;0,805243445692884;0,00686047017005285;97,1;96,9;98,8;96,4
wt;wt;mGAM;0,908560311284047;0,84171322160149;0,770758122743682;0,72231985940246;0,00085366599504103;98,1;98,9;98,1;98
wt;wt;mGAM;0,777777777777778;0,688888888888889;0,613486842105263;0,523291925465838;-0,00443214285572821;97,6;98,8;98,1;98,1
ompK35;wt;mGAM;1;0,648241206030151;0,756708407871199;0,648148148148148;-0,00284581835092968;95;98,4;98,2;97,9
ompK35;wt;mGAM;0,969879518072289;1,28365384615385;0,781981981981982;0,678632478632479;-0,00705299593985104;98,1;95;98,9;98,2
ompK35;wt;mGAM;0,713286713286713;0,627677100494234;0,662162162162162;0,608196721311475;0,00436940381964012;98;98,8;98,4;98,1
ompK35;wt;mGAM;1,09421841541756;0,66610455311973;0,798181818181818;0,616144975288303;-0,00680439215716448;97,8;98,8;98,9;98,1
ompK35;wt;mGAM;0,867172675521822;0,63953488372093;0,797814207650273;0,62046204620462;0,0007842451866878;98,4;98,7;98,7;98,2
wt;ompK35;mGAM;1,18048780487805;1,36867469879518;1,72299168975069;1,76553672316384;0,00576189210791277;92,3;98,4;97,6;97,4
wt;ompK35;mGAM;1,01293103448276;1,06105263157895;1,23529411764706;1,39659367396594;0,00254000753789313;96,7;95;98,9;98,1
wt;ompK35;mGAM;1,08704883227176;1,11324786324786;1,26267281105991;1,3710843373494;-0,000392558382480965;98,2;98,9;98,5;98,5
wt;ompK35;mGAM;1,05508474576271;1,16923076923077;1,31147540983607;1,54381443298969;0,00395101207391497;96,9;99;98,9;98,5
wt;ompK35;mGAM;1,22779043280182;1,25512528473804;1,33490566037736;1,6;-0,0000562335274840332;98,2;98,9;98,9;98,9
OXA48;wt;mGAM;0,467408585055644;0,399715504978663;0,272490221642764;0,228247162673392;-0,016718634360697;88,2;98,4;98,3;97,4
OXA48;wt;mGAM;0,598347107438017;0,353276353276353;0,369806094182825;0,223192019950125;-0,020510764962162;95,7;94,2;98,7;98,4
OXA48;wt;mGAM;0,576243980738363;0,404829545454545;0,287581699346405;0,211562115621156;-0,0248638562501272;98;98,8;98,4;98,3
OXA48;wt;mGAM;0,578175895765472;0,38655462184874;0,32751677852349;0,246835443037975;-0,0185759164726309;95,8;98,7;99;98,4
OXA48;wt;mGAM;0,586429725363489;0,371705963938974;0,25507614213198;0,187274909963986;-0,0293935562063978;98,3;98,7;99;98,6
wt;OXA48;mGAM;0,657142857142857;0,609477124183006;0,555205047318612;0,497709923664122;-0,0178852693597307;89,4;98,3;98,3;97,9
wt;OXA48;mGAM;0,603231597845601;0,511627906976744;0,530959752321981;0,457100591715976;-0,0165671554570245;93,4;97,9;98,8;98,5
wt;OXA48;mGAM;0,761818181818182;0,625615763546798;0,556782334384858;0,508422664624809;-0,0219135740496504;98,3;98,9;98,2;98,4
wt;OXA48;mGAM;0,648601398601399;0,554858934169279;0,508396946564885;0,457902511078287;-0,0199354850930357;97;98,7;98,7;98,7
wt;OXA48;mGAM;1;0,711072664359862;0,67911714770798;0,611475409836066;-0,023832335888157;97,8;99;99;98,8
KPC2;wt;mGAM;0,552816901408451;0,587096774193548;0,496194824961948;0,366058906030856;-0,00543307773674005;87;98,5;98,6;98,1
KPC2;wt;mGAM;0,595;0,43161094224924;0,516129032258065;0,405714285714286;-0,00108293465540713;89,3;97,5;98,9;98,5
KPC2;wt;mGAM;0,661016949152542;0,617021276595745;0,5375;0,475975975975976;-0,00261600050040226;96,9;99;98,7;98,5
KPC2;wt;mGAM;0,550161812297735;0,502283105022831;0,51840490797546;0,462109955423477;0,00369974958604035;94,3;99,2;98,8;98,7
KPC2;wt;mGAM;0,739823008849557;0,681431005110733;0,559055118110236;0,531055900621118;-0,00330967014079738;96,4;98,9;98,9;98,3
wt;KPC2;mGAM;0,757741347905282;0,581730769230769;0,732692307692308;0,509230769230769;-0,0182321531501487;96,5;98,7;90,1;98,1
